store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
1,Paul,New Cairo,8,4.7,45.0,31.453,30.004
2,Simonds,Nasr City,39,2.7,88.83,31.3551,30.0526
3,Bake Rolz,Sheikh Zayed,23,3.4,92.52,30.9613,30.0178
4,Harris Cafe,Maadi,35,4.1,38.22,31.2702,29.9646
5,Fresh Food,Tagamoa,25,4.3,78.41,31.4403,29.9991
6,Dipndip,Dokki,36,2.7,56.4,31.2088,30.0462
7,Le Chantilly,Nasr City,30,4.0,77.48,31.3482,30.0705
8,Bake Rolz,Heliopolis,37,4.5,53.17,31.3447,30.1084
9,La Poire,Rehab,35,3.0,69.96,31.4897,30.0627
10,Fresh Food,Mohandessin,22,3.7,85.61,31.2013,30.0434
11,Lychee,Zamalek,37,4.8,41.33,31.2243,30.0524
12,Cake Maison,Heliopolis,25,4.6,58.48,31.3363,30.0809
13,Marble Slab,Downtown,8,4.0,43.63,31.2549,30.0516
14,Cake Maison,Nasr City,23,3.9,53.36,31.3473,30.0597
15,Gourmet,Downtown,15,2.7,45.42,31.253,30.0478
16,Etoile,Mohandessin,6,4.5,76.29,31.1935,30.0504
17,Cinnabon,Sheikh Zayed,10,4.1,76.6,30.9778,30.0234
18,Krispy Kreme,Sheikh Zayed,36,2.9,81.65,30.9324,30.0266
19,Simonds,Tagamoa,12,4.2,70.14,31.4704,30.0257
20,Fresh Food,Tagamoa,14,3.1,48.39,31.4222,29.9948
21,TBS,Maadi,18,2.8,95.07,31.2566,29.955
22,La Poire,Mohandessin,32,4.6,97.48,31.2011,30.0459
23,Bisco Misr,Rehab,18,3.6,25.49,31.5053,30.0559
24,Bisco Misr,Downtown,37,4.1,45.34,31.2487,30.0515
25,Dunkin,Nasr City,19,2.7,47.08,31.329,30.073
26,Patchi,Maadi,26,2.8,56.65,31.255,29.9578
27,Breadwinner,Shoubra,16,4.0,51.26,31.2583,30.0978
28,Auntie Anne's,Maadi,35,4.1,67.18,31.2414,29.9498
29,TBS,New Cairo,28,3.2,68.53,31.508,30.0425
30,Tutti Frutti,Sheikh Zayed,13,3.0,34.49,30.9488,30.0378
31,Costa Coffee,New Cairo,40,4.7,54.09,31.4884,30.0138
32,Marble Slab,6th October,19,2.9,31.91,30.9048,29.9409
33,Auntie Anne's,Mohandessin,35,4.8,85.06,31.2003,30.0514
34,Cilantro,Korba,34,4.9,30.89,31.3213,30.0955
35,Mandarine Koueider,Shoubra,32,4.5,97.44,31.2403,30.0864
36,Harris Cafe,Sheikh Zayed,25,4.7,37.92,30.9226,30.0093
37,Le Chantilly,Tagamoa,14,3.8,53.12,31.4242,30.0088
38,Fresh Food,Korba,36,2.7,92.38,31.3224,30.0859
39,Paul,New Cairo,8,3.1,30.11,31.4953,29.9979
40,Costa Coffee,Tagamoa,10,4.1,74.88,31.4673,29.9905
41,Harris Cafe,Shoubra,7,3.1,80.51,31.2534,30.0887
42,Cookiedoodle,Sheikh Zayed,27,4.8,91.69,30.9263,30.0395
43,Etoile,Heliopolis,11,3.0,95.91,31.3401,30.0919
44,El Abd,Dokki,6,4.4,44.17,31.2055,30.0326
45,House of Donuts,Nasr City,23,2.6,54.89,31.3296,30.065
46,Breadwinner,Dokki,8,3.3,81.55,31.2019,30.0392
47,Cake Maison,Heliopolis,16,3.1,83.1,31.3346,30.1033
48,Etoile,Korba,24,2.5,42.14,31.3268,30.0915
49,Baskin Robbins,Dokki,13,4.1,53.67,31.2101,30.0317
50,Gourmet,Korba,16,2.7,72.17,31.3244,30.0918
51,Simonds,Heliopolis,14,2.6,85.93,31.3256,30.0951
52,Cake Maison,6th October,11,4.3,51.22,30.9554,29.9218
53,Bake Rolz,Rehab,18,4.9,36.99,31.5147,30.068
54,Beano's,Korba,32,4.7,28.47,31.3294,30.0882
55,Nola Cupcakes,Dokki,11,4.8,75.04,31.2009,30.0322
56,Costa Coffee,Sheikh Zayed,26,3.8,40.79,30.9331,30.0333
57,Marble Slab,Rehab,13,3.4,97.23,31.4994,30.0532
58,Breadwinner,Nasr City,33,3.1,93.72,31.3489,30.0661
59,Cookiedoodle,Mohandessin,5,4.7,40.97,31.2082,30.046
60,Simonds,Zamalek,32,3.2,66.33,31.2135,30.0662
61,Le Chantilly,Heliopolis,7,3.3,57.38,31.3386,30.1031
62,Cold Stone,Mohandessin,23,3.1,94.71,31.1998,30.0542
63,Costa Coffee,Dokki,7,4.7,36.67,31.2003,30.0488
64,La Poire,Tagamoa,11,2.6,73.35,31.4729,30.0078
65,House of Donuts,Sheikh Zayed,23,2.8,73.08,30.947,30.0127
66,Bisco Misr,Heliopolis,28,2.8,50.46,31.3345,30.1003
67,Cinnabon,Giza,33,3.7,77.28,31.2102,30.0128
68,Cold Stone,Rehab,38,4.1,98.56,31.4994,30.0583
69,Cake Maison,Heliopolis,13,4.5,67.91,31.343,30.0949
70,Harris Cafe,Mohandessin,13,4.0,64.87,31.2043,30.0689
71,Paul,Dokki,34,4.0,90.02,31.2159,30.0414
72,Gourmet,Rehab,39,4.5,79.83,31.5036,30.07
73,Harris Cafe,Shoubra,5,4.5,78.93,31.2302,30.0908
74,Cinnabon,Sheikh Zayed,8,4.0,56.86,30.9378,30.0261
75,Cinnabon,Nasr City,6,3.5,60.8,31.3517,30.0638
76,House of Donuts,Nasr City,10,4.7,51.23,31.3389,30.0633
77,Etoile,6th October,30,4.2,35.51,30.9663,29.9714
78,Fresh Food,Shoubra,18,3.2,35.99,31.232,30.0737
79,Cake Maison,Downtown,11,2.6,41.11,31.232,30.0562
80,Cake Maison,Downtown,20,2.5,86.27,31.2404,30.0522
81,Lychee,Sheikh Zayed,12,2.9,78.53,30.9288,30.0092
82,Tutti Frutti,Mohandessin,30,4.5,82.87,31.2031,30.0502
83,Beano's,Korba,37,2.5,41.31,31.3292,30.0856
84,El Abd,Tagamoa,24,2.6,49.95,31.4427,29.9907
85,Baskin Robbins,Downtown,37,4.2,38.51,31.2443,30.0431
86,Le Chantilly,Giza,31,4.2,81.8,31.1964,30.0063
87,Harris Cafe,New Cairo,18,4.2,87.55,31.4836,30.0092
88,Baskin Robbins,Mohandessin,35,4.9,65.88,31.2072,30.0446
89,El Abd,Downtown,35,3.9,50.54,31.256,30.057
90,Auntie Anne's,Dokki,12,3.1,40.9,31.2,30.0471
91,Lychee,Dokki,31,2.7,42.39,31.2144,30.0473
92,Cinnabon,Shoubra,35,4.4,78.02,31.2482,30.0805
93,Le Chantilly,Maadi,11,3.4,47.76,31.259,29.9705
94,Cilantro,Mohandessin,25,5.0,26.33,31.1973,30.0689
95,Starbucks,Zamalek,19,3.2,28.19,31.2121,30.0521
96,House of Donuts,Rehab,10,3.7,41.69,31.4997,30.0628
97,Harris Cafe,Giza,36,3.8,89.78,31.216,30.0148
98,Dunkin,Nasr City,22,2.7,51.42,31.3332,30.0559
99,House of Donuts,Giza,18,3.0,84.67,31.2194,30.0021
100,Cinnabon,Nasr City,18,4.4,93.13,31.3576,30.0551
101,Etoile,Downtown,22,3.1,46.13,31.2444,30.0599
102,Bake Rolz,Rehab,8,4.5,93.42,31.5133,30.0457
103,Lychee,Downtown,33,3.9,32.77,31.2512,30.0513
104,Auntie Anne's,Giza,30,3.6,36.62,31.2198,30.0108
105,Beano's,Tagamoa,14,3.8,99.11,31.4311,30.0112
106,Costa Coffee,Dokki,9,4.6,77.01,31.2007,30.0497
107,Bisco Misr,Giza,34,5.0,97.01,31.2118,30.013
108,Bake Rolz,Tagamoa,14,3.1,84.68,31.4348,30.0193
109,Dipndip,Heliopolis,9,5.0,52.47,31.3424,30.0818
110,Bake Rolz,Giza,40,3.3,56.83,31.208,30.0168
111,Costa Coffee,Dokki,32,4.4,36.27,31.2006,30.0474
112,Le Chantilly,6th October,33,2.8,93.51,30.9752,29.9487
113,Beano's,Korba,23,4.4,46.07,31.3348,30.0976
114,Tutti Frutti,Maadi,24,4.5,73.84,31.2687,29.9407
115,Beano's,6th October,40,3.4,78.1,30.8989,29.9395
116,Lychee,New Cairo,40,2.8,68.6,31.4692,30.0036
117,Le Chantilly,Shoubra,30,4.7,34.43,31.2352,30.0706
118,Paul,Downtown,24,2.8,99.3,31.2554,30.0468
119,Breadwinner,Dokki,28,3.0,26.32,31.2138,30.0289
120,Cilantro,New Cairo,8,4.5,95.07,31.4492,30.0329
121,Cookiedoodle,Downtown,33,2.8,62.48,31.2448,30.049
122,Paul,Sheikh Zayed,19,4.3,77.68,30.9384,30.0013
123,Dunkin,Korba,36,2.9,55.38,31.3244,30.0805
